parameter_name,parameter_value,kernel,C,gamma,degree,coef0,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,1,1,0.7111111111111111,0.723404255319149,0.8557312252964426
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,2,2,0.7111111111111111,0.5806451612903226,0.8794466403162055
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,3,3,0.4666666666666667,0.4782608695652174,0.4407114624505929
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,4,4,0.4888888888888889,0.6567164179104478,0.8102766798418972
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,5,5,0.4888888888888889,0.6567164179104478,0.3670634920634921
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,6,6,0.5333333333333333,0.0,0.501984126984127
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,7,7,0.7333333333333333,0.7857142857142857,0.9901185770750988
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,8,8,0.6222222222222222,0.6046511627906976,0.6996047430830039
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,9,9,0.5777777777777777,0.5777777777777777,0.5337301587301587
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,10,10,0.6222222222222222,0.6222222222222222,0.6845238095238094
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,11,11,0.5111111111111111,0.6666666666666666,0.4268774703557312
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,12,12,0.6222222222222222,0.5641025641025641,0.7083333333333334
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,13,13,0.8,0.8108108108108109,0.8888888888888888
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,14,14,0.6666666666666666,0.7457627118644068,0.7885375494071146
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,15,15,0.5777777777777777,0.6984126984126984,0.9486166007905139
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,16,16,0.5555555555555556,0.696969696969697,0.7411067193675889
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,17,17,0.5238095238095238,0.0,0.5795454545454546
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,18,18,0.5111111111111111,0.6451612903225806,0.4229249011857707
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,19,19,0.6888888888888889,0.7586206896551724,0.8458498023715415
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,20,20,0.5333333333333333,0.43243243243243246,0.5869565217391304
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,21,21,0.5777777777777777,0.6415094339622641,0.7301587301587301
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,22,22,0.5111111111111111,0.6764705882352942,0.7371541501976284
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,23,23,0.6818181818181818,0.75,0.8512396694214877
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,24,24,0.5555555555555556,0.42857142857142855,0.6623376623376623
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,25,25,0.6888888888888889,0.72,0.7667984189723319
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,26,26,0.6444444444444445,0.7241379310344828,0.7837301587301586
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,27,27,0.5111111111111111,0.6666666666666666,0.6027667984189723
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,28,28,0.4888888888888889,0.4888888888888889,0.5513833992094861
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,29,29,0.8222222222222222,0.8461538461538461,1.0
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,30,30,0.5333333333333333,0.08695652173913043,0.6785714285714286
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,31,31,0.8888888888888888,0.8936170212765957,0.9664031620553359
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,32,32,0.6818181818181818,0.7666666666666667,0.9440993788819876
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,33,33,0.7333333333333333,0.6666666666666666,0.8537549407114624
kernel,linear,linear,1.0,scale,3,0.0,balanced,6,34,34,0.8666666666666667,0.8888888888888888,0.9801587301587301
