rank,trial_number,temporal_filters,filter_length,pool_length,pool_stride,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,23,20,35,50,15,0.5,0.0005661525706310615,32,75,0.0001,0.1,5,3,0.7,False,42,0.6720991596021614,0.13504655662195358,0.640467598236394,0.757645855602302,3.756238188740099,0.0014301267499966478,0.03294888242143132,0.03014373779296875,7902.0,0.01001880787037037,77.19189453125,0.5700009243615584,0.5695645791696913,12.833333333333334,17.833333333333332
2,9,20,35,75,15,0.5,0.00022469850626607605,32,75,0.0001,0.1,5,3,0.7,False,42,0.6706805991091124,0.12873244901400885,0.6460689937543229,0.7534876054556442,5.579281970111576,0.0015138825865169227,0.03487006761544039,0.02983856201171875,7822.0,0.007378472222222222,77.189453125,0.5669189461582672,0.5694605533539513,21.453703703703702,26.453703703703702
3,2,40,35,75,15,0.3,0.0005803927140328609,32,75,0.0001,0.1,5,3,0.7,False,42,0.6705483879824217,0.12138848909493145,0.6483560412322382,0.7534281732804372,2.8276480372878723,0.0015841515651791942,0.036818568995670015,0.10544586181640625,27642.0,0.09758391203703703,135.10986328125,0.5104750859189168,0.5786429652461299,6.796296296296297,11.796296296296296
4,10,20,35,50,15,0.5,0.0004181730530357213,32,75,0.0001,0.1,5,3,0.7,False,42,0.6700387489738076,0.12671368547796283,0.6433360405009756,0.7592648441333779,4.250510689666111,0.001497510996328115,0.03443067073866141,0.03014373779296875,7902.0,0.007161458333333333,77.19189453125,0.5650622503818292,0.56934471319855,15.194444444444445,20.194444444444443
5,29,40,35,75,20,0.5,0.00013626278480505824,32,75,0.0001,0.1,5,3,0.7,False,42,0.6697490388345206,0.12548400602340323,0.6450222549506017,0.7489338263096569,5.763913942760728,0.001482273816859729,0.03412554557652449,0.10361480712890625,27162.0,0.0078125,135.1025390625,0.5520526847118042,0.5693250030095195,19.287037037037038,24.287037037037038
6,6,20,15,75,20,0.3,0.0007156776796443051,32,75,0.0001,0.1,5,3,0.7,False,42,0.6695451001418077,0.1275834163568622,0.6494842257661744,0.753074051209912,4.070325924168207,0.0015698184902753888,0.03656925014524938,0.02754974365234375,7222.0,0.026403356481481483,79.4736328125,0.5612024949322393,0.5685294044790445,13.731481481481481,18.73148148148148
7,5,60,35,50,20,0.3,0.00037211578429239395,32,75,0.0001,0.1,5,3,0.7,False,42,0.6684976515707602,0.1285974946546392,0.6384258433916338,0.7467852688736959,3.4786262258906695,0.0015162995060328049,0.03487049313071823,0.22454071044921875,58862.0,0.018880208333333332,200.8447265625,0.47345802337968773,0.5814999667582689,7.425925925925926,12.425925925925926
8,15,40,35,75,15,0.5,0.00018150036406019052,32,75,0.0001,0.1,5,3,0.7,False,42,0.6678858121066293,0.12503525348473069,0.645481911113533,0.7579780311292926,4.61726611158304,0.001492014014123318,0.03427326588744036,0.10544586181640625,27642.0,0.0029658564814814816,135.10986328125,0.5425790042202717,0.568599692630915,14.425925925925926,19.425925925925927
9,25,20,35,50,15,0.5,0.0005746409009449012,32,75,0.0001,0.1,5,3,0.7,False,42,0.6677716316021688,0.13063077995924047,0.6374034919751059,0.7584170901997157,4.036283842379581,0.0014624968984949024,0.03361936511316847,0.03014373779296875,7902.0,0.005678530092592593,77.19189453125,0.5655046691456237,0.5681579650736149,14.148148148148149,19.14814814814815
10,26,20,15,50,20,0.5,0.00028552994160905513,32,75,0.0001,0.1,5,3,0.7,False,42,0.6668502503205423,0.128287857321217,0.6460580104829388,0.7562510378549138,5.6246705010169,0.001514810131522137,0.0348354480424532,0.02770233154296875,7262.0,0.010054976851851851,79.47607421875,0.5867446813066473,0.5738636862164662,20.805555555555557,25.805555555555557
11,3,20,35,75,15,0.3,0.00021496901886941625,32,75,0.0001,0.1,5,3,0.7,False,42,0.6665121017203953,0.13112690336366295,0.6422737115050073,0.7446239998029571,4.723108267204629,0.0015510171457814674,0.036157603326805655,0.02983856201171875,7822.0,0.05295138888888889,77.189453125,0.5375293617418139,0.5697368150691927,17.25,22.25
12,22,20,35,50,15,0.5,0.0004511555652154479,32,75,0.0001,0.1,5,3,0.7,False,42,0.6660187292064428,0.1309372319559727,0.639836139019406,0.7571613954074733,4.245569833814106,0.001465199344912199,0.033699681535898834,0.03014373779296875,7902.0,0.01070601851851852,77.19189453125,0.565664211721789,0.5691465801110974,15.12037037037037,20.12037037037037
13,17,20,35,75,15,0.5,0.0009360911723307978,32,75,0.0001,0.1,5,3,0.7,False,42,0.6655269240530882,0.12457810251557142,0.6334541514904829,0.7542783096621402,3.338653515008951,0.0014218454954162654,0.03275214243710086,0.02983856201171875,7822.0,0.011103877314814815,77.189453125,0.5777162281082276,0.5717974045946274,10.898148148148149,15.898148148148149
14,7,20,15,75,15,0.5,0.0002681555829493611,32,75,0.0001,0.1,5,3,0.7,False,42,0.6650467532923128,0.13074522937082245,0.6384188459339619,0.7558221679009123,5.3874278892224,0.0014670509306058564,0.03371837110643744,0.02861785888671875,7502.0,0.008572048611111112,79.48095703125,0.5830135732877637,0.5714107074855286,19.694444444444443,24.694444444444443
15,8,40,15,75,20,0.5,0.000162387248084456,32,75,0.0001,0.1,5,3,0.7,False,42,0.6648276436968316,0.12496811262102858,0.6343257773327571,0.7556908188261114,5.718108349767539,0.0016296065856564652,0.03793731917354734,0.10086822509765625,26442.0,0.11248553240740741,139.6806640625,0.5721448980629624,0.5686391003889801,18.98148148148148,23.98148148148148
16,13,40,35,75,15,0.5,0.0004887795360815265,32,75,0.0001,0.1,5,3,0.7,False,42,0.6648096355296045,0.12715568432177174,0.6375784354084546,0.7482124596101668,3.3961927151701983,0.0014649735816487078,0.033725291040172016,0.10544586181640625,27642.0,0.021195023148148147,135.10986328125,0.5569937186505357,0.5726406962231354,9.342592592592593,14.342592592592593
17,21,20,35,50,15,0.5,0.00038140555563895143,32,75,0.0001,0.1,5,3,0.7,False,42,0.6644939998415494,0.12735250800237638,0.6483823020215692,0.7492503870611757,4.291512568907584,0.0014735975747936646,0.033905886565631274,0.03014373779296875,7902.0,0.006944444444444444,77.19189453125,0.5659990248440253,0.5688397558199035,15.268518518518519,20.26851851851852
18,27,20,35,75,15,0.5,0.00020449918795113864,32,75,0.0001,0.1,5,3,0.7,False,42,0.6642570233428562,0.12556969037771412,0.6410203447199234,0.7533174804386749,5.665697789324137,0.0015085319906507652,0.03468656076355591,0.02983856201171875,7822.0,0.005208333333333333,77.189453125,0.5683160273836654,0.5700755646015391,21.84259259259259,26.84259259259259
