rank,trial_number,f1,depth_multiplier,f2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,validation_fraction,early_stopping_patience,lr_scheduler_patience,lr_scheduler_factor,use_class_weight,seed,mean_accuracy,std_accuracy,mean_f1,mean_auc,mean_train_time_sec,mean_inference_time_sec,mean_inference_ms_per_sample,mean_model_size_mb,mean_num_parameters,mean_train_memory_delta_mb,mean_peak_gpu_memory_mb,mean_final_train_loss,mean_best_val_loss,mean_best_epoch,mean_stopped_epoch
1,11,8,6,48,32,0.5,0.0007030098539133861,64,75,0.0,0.2,5,3,0.7,False,42,0.6634377604283554,0.13386824911711884,0.6245252500444506,0.7401324496615972,10.255028107146952,0.001791669102709016,0.042164967874245986,0.02210235595703125,5794.0,0.004955150462962963,60.765625,0.5869054719384781,0.6023202214344048,21.425925925925927,26.425925925925927
2,17,8,4,32,32,0.5,0.0005004752655474414,64,75,0.0,0.2,5,3,0.7,False,42,0.6631620717836563,0.13490727341079228,0.6364206370775918,0.7455037009727027,11.772896859360454,0.0018957812959949176,0.0442559474625161,0.01313018798828125,3442.0,7.233796296296296e-05,51.6806640625,0.600409778507341,0.6043797888873534,30.35185185185185,35.351851851851855
3,16,8,4,32,32,0.5,0.0005136065687278436,64,75,0.0,0.2,5,3,0.7,False,42,0.66252356857642,0.13566371000580932,0.6229805097652268,0.7445870749219107,11.707392275998481,0.0018495626416686853,0.04347689727860649,0.01313018798828125,3442.0,0.00972945601851852,51.6806640625,0.5989057174173452,0.6037676650432893,30.833333333333332,35.833333333333336
4,2,4,6,24,32,0.5,0.001583892449759314,64,75,0.0,0.2,5,3,0.7,False,42,0.6598889302319654,0.12773126263966128,0.6313400267812596,0.7400341689542459,6.439196260331233,0.001709426906826492,0.03992120511532598,0.00885772705078125,2322.0,0.0007957175925925925,30.97314453125,0.6003083512233774,0.6039556260462161,17.87962962962963,22.87962962962963
5,23,8,4,32,32,0.5,0.0007409231815251923,64,75,0.0,0.2,5,3,0.7,False,42,0.6581960262034722,0.12779327291807982,0.6119599308500276,0.7439797780512267,8.755494193434263,0.0017945194903640422,0.041980227598215014,0.01313018798828125,3442.0,0.008716724537037037,51.6806640625,0.5982535163318294,0.6040249059597651,22.675925925925927,27.675925925925927
6,10,8,6,48,32,0.5,0.0008607222146807673,64,75,0.0,0.2,5,3,0.7,False,42,0.658025993153612,0.1313270019246168,0.6213651369242373,0.7439900318075994,9.223122636000173,0.0017923387996334997,0.04187951987057786,0.02210235595703125,5794.0,0.006655092592592593,60.765625,0.5874572168224201,0.6030722523545042,18.24074074074074,23.24074074074074
7,19,8,4,32,32,0.4,0.0005004489209903552,64,75,0.0,0.2,5,3,0.7,False,42,0.656341113638017,0.1342669519418746,0.6272993446288451,0.7409029254470061,9.918607197777924,0.0017501679087419892,0.041412208538179535,0.01313018798828125,3442.0,0.028284143518518517,51.6806640625,0.5893848705370323,0.6028797381454043,26.35185185185185,31.35185185185185
8,1,4,6,24,32,0.4,0.0014148467020152098,64,75,0.0,0.2,5,3,0.7,False,42,0.656218993476182,0.13194500890630922,0.6268309716515367,0.7422575957588606,6.218321862812714,0.0018955376710639233,0.04492514616296073,0.00885772705078125,2322.0,0.42628761574074076,30.97314453125,0.5890374074117687,0.6022173982159591,16.555555555555557,21.555555555555557
9,18,8,4,32,32,0.6,0.0006668735302956192,64,75,0.0,0.2,5,3,0.7,False,42,0.65607533406321,0.13322240247407727,0.6226787523227032,0.7463944266047013,12.041597696795145,0.001957288860770253,0.04572664566908432,0.01313018798828125,3442.0,0.005027488425925926,51.6806640625,0.6086751945312114,0.6063853785027692,30.77777777777778,35.77777777777778
10,12,8,6,48,32,0.5,0.0007567981065935457,64,75,0.0,0.2,5,3,0.7,False,42,0.655623547881344,0.13430558390069702,0.6333938251819258,0.7430023210300654,9.252765567917743,0.0017503499704482103,0.04105429574371932,0.02210235595703125,5794.0,0.0009765625,60.765625,0.5881621995747875,0.602401535856871,20.296296296296298,25.296296296296298
